sample_id,true_class,pred_class,fall_prob,true_prob,second_class,second_prob,fall_logit,true_logit,max_nonfall_logit,logit_fall_minus_true,logit_fall_minus_maxnonfall,entropy,conf_margin,is_walk_or_run
2,lie down,fall,0.4426,0.0346,walk,0.2076,1.239,-1.311,0.482,2.550,0.757,1.525,0.235,0
21,lie down,fall,0.5437,0.0635,walk,0.1445,1.596,-0.550,0.271,2.147,1.325,1.427,0.399,0
30,lie down,fall,0.5636,0.0607,walk,0.1390,1.682,-0.546,0.282,2.228,1.400,1.386,0.425,0
37,lie down,fall,0.5452,0.0241,walk,0.1810,1.651,-1.468,0.548,3.119,1.103,1.372,0.364,0
38,lie down,fall,0.5800,0.0208,walk,0.1619,1.750,-1.578,0.474,3.328,1.276,1.265,0.418,0
43,lie down,fall,0.3483,0.0276,walk,0.2474,1.121,-1.414,0.779,2.535,0.342,1.544,0.101,0
48,lie down,fall,0.2788,0.1737,stand up,0.2331,1.067,0.594,0.888,0.473,0.179,1.758,0.046,0
53,lie down,fall,0.3850,0.0046,walk,0.2962,1.395,-3.032,1.133,4.427,0.262,1.359,0.089,0
61,lie down,fall,0.5594,0.0228,walk,0.1815,1.654,-1.546,0.528,3.200,1.126,1.372,0.378,0
113,pickup,fall,0.3308,0.0101,stand up,0.2189,1.331,-2.159,0.918,3.490,0.413,1.643,0.112,0
114,pickup,fall,0.6802,0.0243,walk,0.1426,2.065,-1.267,0.503,3.332,1.562,1.101,0.538,0
118,pickup,fall,0.6092,0.0323,walk,0.1704,1.779,-1.159,0.504,2.937,1.274,1.263,0.439,0
121,pickup,fall,0.6442,0.0196,walk,0.1636,1.963,-1.531,0.592,3.494,1.371,1.148,0.481,0
128,pickup,fall,0.6436,0.0147,walk,0.1690,2.032,-1.751,0.695,3.782,1.337,1.130,0.475,0
140,pickup,fall,0.6166,0.0073,walk,0.1480,2.124,-2.317,0.697,4.442,1.427,1.222,0.469,0
143,pickup,fall,0.5537,0.0236,run,0.2293,1.717,-1.438,0.835,3.155,0.882,1.188,0.324,0
154,pickup,fall,0.4774,0.0125,run,0.2720,1.605,-2.040,1.043,3.646,0.562,1.162,0.205,0
160,pickup,fall,0.5179,0.0329,walk,0.1965,1.519,-1.237,0.550,2.755,0.969,1.416,0.321,0
165,run,fall,0.5562,0.1688,run,0.1688,1.694,0.501,0.501,1.192,1.192,1.291,0.387,1
166,run,fall,0.4806,0.0746,walk,0.2248,1.565,-0.298,0.805,1.863,0.760,1.426,0.256,1
170,run,fall,0.3691,0.2605,run,0.2605,1.294,0.946,0.946,0.348,0.348,1.440,0.109,1
173,run,fall,0.5216,0.2121,walk,0.2160,1.568,0.668,0.686,0.900,0.881,1.205,0.306,1
175,run,fall,0.6026,0.1787,run,0.1787,1.726,0.510,0.510,1.215,1.215,1.111,0.424,1
176,run,fall,0.6200,0.1863,run,0.1863,1.987,0.784,0.784,1.202,1.202,1.100,0.434,1
179,run,fall,0.3491,0.2429,run,0.2429,1.232,0.869,0.869,0.363,0.363,1.504,0.106,1
183,run,fall,0.2933,0.1066,stand up,0.2519,1.085,0.073,0.933,1.012,0.152,1.662,0.041,1
184,run,fall,0.5921,0.1940,run,0.1940,1.950,0.834,0.834,1.116,1.116,1.140,0.398,1
187,run,fall,0.5624,0.2064,run,0.2064,1.812,0.810,0.810,1.002,1.002,1.197,0.356,1
189,run,fall,0.5191,0.2256,run,0.2256,1.709,0.876,0.876,0.833,0.833,1.269,0.293,1
192,run,fall,0.3657,0.3290,run,0.3290,1.212,1.106,1.106,0.106,0.106,1.288,0.037,1
194,run,fall,0.3579,0.3029,run,0.3029,1.120,0.953,0.953,0.167,0.167,1.358,0.055,1
200,run,fall,0.3433,0.2374,run,0.2374,1.185,0.816,0.816,0.369,0.369,1.540,0.106,1
222,run,fall,0.5299,0.2255,run,0.2255,1.827,0.972,0.972,0.854,0.854,1.214,0.304,1
223,run,fall,0.5331,0.2212,run,0.2212,1.775,0.895,0.895,0.880,0.880,1.240,0.312,1
224,run,fall,0.5346,0.2263,run,0.2263,1.790,0.930,0.930,0.860,0.860,1.228,0.308,1
226,run,fall,0.3527,0.3060,run,0.3060,1.130,0.988,0.988,0.142,0.142,1.342,0.047,1
231,run,fall,0.4507,0.2064,walk,0.2722,2.121,1.340,1.616,0.781,0.504,1.322,0.178,1
232,run,fall,0.3597,0.3402,run,0.3402,1.218,1.162,1.162,0.056,0.056,1.269,0.020,1
233,run,fall,0.4505,0.2720,run,0.2720,1.417,0.913,0.913,0.504,0.504,1.315,0.178,1
234,run,fall,0.4984,0.1831,walk,0.2461,1.500,0.498,0.794,1.002,0.706,1.283,0.252,1
237,run,fall,0.5096,0.2417,run,0.2417,1.665,0.920,0.920,0.746,0.746,1.270,0.268,1
239,run,fall,0.4863,0.2137,run,0.2137,1.553,0.731,0.731,0.822,0.822,1.326,0.273,1
244,run,fall,0.5467,0.2260,run,0.2260,1.819,0.936,0.936,0.883,0.883,1.201,0.321,1
246,run,fall,0.5481,0.1969,walk,0.2056,1.658,0.635,0.678,1.024,0.980,1.179,0.342,1
248,run,fall,0.5416,0.2011,run,0.2011,1.694,0.704,0.704,0.991,0.991,1.249,0.340,1
250,run,fall,0.5862,0.1173,walk,0.1744,1.631,0.021,0.418,1.609,1.212,1.286,0.412,1
252,run,fall,0.4813,0.1632,walk,0.2781,1.524,0.443,0.975,1.081,0.549,1.296,0.203,1
254,run,fall,0.5658,0.1927,run,0.1927,1.599,0.522,0.522,1.077,1.077,1.185,0.373,1
259,run,fall,0.5730,0.2001,run,0.2001,1.714,0.662,0.662,1.052,1.052,1.139,0.373,1
261,run,fall,0.2700,0.2232,walk,0.2658,0.755,0.564,0.739,0.191,0.016,1.651,0.004,1
262,run,fall,0.5472,0.2079,run,0.2079,1.789,0.821,0.821,0.968,0.968,1.224,0.339,1
263,run,fall,0.6125,0.1949,run,0.1949,2.018,0.873,0.873,1.145,1.145,1.092,0.418,1
264,run,fall,0.3978,0.1906,walk,0.3041,1.254,0.519,0.986,0.736,0.269,1.414,0.094,1
265,run,fall,0.5116,0.1831,walk,0.2074,1.567,0.540,0.664,1.027,0.903,1.319,0.304,1
266,run,fall,0.4198,0.2405,run,0.2405,1.464,0.907,0.907,0.557,0.557,1.398,0.179,1
269,run,fall,0.4343,0.2629,run,0.2629,1.267,0.765,0.765,0.502,0.502,1.346,0.171,1
271,run,fall,0.4768,0.2314,run,0.2314,1.511,0.788,0.788,0.723,0.723,1.343,0.245,1
281,run,fall,0.5739,0.1901,walk,0.1916,1.704,0.599,0.607,1.105,1.097,1.142,0.382,1
299,sit down,fall,0.4856,0.0087,walk,0.2431,1.668,-2.359,0.976,4.027,0.692,1.291,0.242,0
321,sit down,fall,0.5183,0.0169,stand up,0.1982,1.986,-1.437,1.024,3.422,0.961,1.371,0.320,0
322,stand up,fall,0.4680,0.1764,walk,0.2167,1.566,0.590,0.796,0.976,0.770,1.431,0.251,0
329,stand up,fall,0.4024,0.1470,walk,0.2819,1.467,0.460,1.111,1.007,0.356,1.513,0.120,0
331,stand up,fall,0.5156,0.0125,walk,0.2070,1.662,-2.058,0.749,3.721,0.913,1.291,0.309,0
332,stand up,fall,0.4631,0.0169,walk,0.2514,1.388,-1.923,0.777,3.310,0.611,1.365,0.212,0
335,stand up,fall,0.3874,0.0554,walk,0.3287,1.515,-0.430,1.351,1.945,0.164,1.522,0.059,0
336,stand up,fall,0.2905,0.0824,walk,0.2326,0.941,-0.319,0.718,1.260,0.222,1.782,0.058,0
338,stand up,fall,0.6378,0.0381,walk,0.1611,1.830,-0.988,0.454,2.818,1.376,1.188,0.477,0
342,stand up,fall,0.6243,0.0209,walk,0.1731,1.952,-1.443,0.670,3.395,1.283,1.156,0.451,0
343,stand up,fall,0.6198,0.0326,walk,0.1564,1.818,-1.128,0.441,2.946,1.377,1.240,0.463,0
345,stand up,fall,0.5808,0.0217,walk,0.1827,1.766,-1.522,0.609,3.287,1.157,1.222,0.398,0
347,stand up,fall,0.6634,0.0441,walk,0.1464,2.055,-0.655,0.544,2.711,1.511,1.153,0.517,0
349,stand up,fall,0.4825,0.0814,walk,0.2635,1.672,-0.108,1.067,1.780,0.605,1.433,0.219,0
