rule,tau1,tau2,pgd_recall,pgd_fp,walkrun_fp,specificity,precision,f1
A_pfall,0.0,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.02,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.04,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.06,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.08,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.1,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.12,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.14,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.16,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.18,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.2,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.22,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.24,,0.667,115,80,0.747,0.207,0.316
A_pfall,0.26,,0.667,114,79,0.749,0.208,0.317
A_pfall,0.28,,0.667,111,77,0.756,0.213,0.323
A_pfall,0.3,,0.644,109,76,0.760,0.210,0.317
A_pfall,0.32,,0.600,107,74,0.765,0.201,0.302
A_pfall,0.34,,0.578,105,73,0.769,0.198,0.295
A_pfall,0.36,,0.556,99,68,0.782,0.202,0.296
A_pfall,0.38,,0.489,95,64,0.791,0.188,0.272
A_pfall,0.4,,0.356,92,63,0.798,0.148,0.209
A_pfall,0.42,,0.311,90,62,0.802,0.135,0.188
A_pfall,0.44,,0.222,86,59,0.811,0.104,0.142
A_pfall,0.46,,0.133,82,56,0.820,0.068,0.090
A_pfall,0.48,,0.111,75,52,0.835,0.062,0.080
A_pfall,0.5,,0.089,68,47,0.851,0.056,0.068
A_pfall,0.52,,0.089,56,38,0.877,0.067,0.076
A_pfall,0.54,,0.089,48,30,0.895,0.077,0.082
A_pfall,0.56,,0.067,35,22,0.923,0.079,0.072
A_pfall,0.58,,0.067,27,16,0.941,0.100,0.080
A_pfall,0.6,,0.067,22,12,0.952,0.120,0.086
A_pfall,0.62,,0.022,15,9,0.967,0.062,0.033
A_pfall,0.64,,0.022,11,7,0.976,0.083,0.035
A_pfall,0.66,,0.022,7,5,0.985,0.125,0.038
A_pfall,0.68,,0.022,6,5,0.987,0.143,0.038
A_pfall,0.7,,0.022,3,3,0.993,0.250,0.041
A_pfall,0.72,,0.022,2,2,0.996,0.333,0.042
A_pfall,0.74,,0.000,2,2,0.996,0.000,0.000
A_pfall,0.76,,0.000,2,2,0.996,0.000,0.000
A_pfall,0.78,,0.000,2,2,0.996,0.000,0.000
A_pfall,0.8,,0.000,1,1,0.998,0.000,0.000
A_pfall,0.82,,0.000,1,1,0.998,0.000,0.000
A_pfall,0.84,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.86,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.88,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.9,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.92,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.94,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.96,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.98,,0.000,0,0,1.000,0.000,0.000
A_pfall,1.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,0.0,,0.667,115,80,0.747,0.207,0.316
B_logitmargin,0.25,,0.511,102,70,0.776,0.184,0.271
B_logitmargin,0.5,,0.267,87,59,0.809,0.121,0.167
B_logitmargin,0.75,,0.156,68,45,0.851,0.093,0.117
B_logitmargin,1.0,,0.067,44,27,0.903,0.064,0.065
B_logitmargin,1.25,,0.044,20,8,0.956,0.091,0.060
B_logitmargin,1.5,,0.022,5,3,0.989,0.167,0.039
B_logitmargin,1.75,,0.022,2,2,0.996,0.333,0.042
B_logitmargin,2.0,,0.000,1,1,0.998,0.000,0.000
B_logitmargin,2.25,,0.000,1,1,0.998,0.000,0.000
B_logitmargin,2.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,2.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,5.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,5.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,5.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,5.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,6.0,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.0,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.05,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.1,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.15,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.2,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.25,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.3,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.35,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.4,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.45,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.5,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.55,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.6,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.65,,0.000,0,0,1.000,0.000,0.000
C_entropy,0.7,,0.000,1,1,0.998,0.000,0.000
C_entropy,0.75,,0.000,1,1,0.998,0.000,0.000
C_entropy,0.8,,0.000,2,2,0.996,0.000,0.000
C_entropy,0.85,,0.000,3,3,0.993,0.000,0.000
C_entropy,0.9,,0.000,3,3,0.993,0.000,0.000
C_entropy,0.95,,0.000,4,4,0.991,0.000,0.000
C_entropy,1.0,,0.022,7,7,0.985,0.125,0.038
C_entropy,1.05,,0.044,8,8,0.982,0.200,0.073
C_entropy,1.1,,0.044,10,10,0.978,0.167,0.070
C_entropy,1.15,,0.044,21,18,0.954,0.087,0.059
C_entropy,1.2,,0.067,33,24,0.927,0.083,0.074
C_entropy,1.25,,0.133,45,33,0.901,0.118,0.125
C_entropy,1.3,,0.200,58,42,0.873,0.134,0.161
C_entropy,1.35,,0.222,72,54,0.842,0.122,0.157
C_entropy,1.4,,0.311,84,60,0.815,0.143,0.196
C_entropy,1.45,,0.444,95,67,0.791,0.174,0.250
C_entropy,1.5,,0.489,96,68,0.789,0.186,0.270
C_entropy,1.55,,0.511,106,74,0.767,0.178,0.264
C_entropy,1.6,,0.600,107,75,0.765,0.201,0.302
C_entropy,1.65,,0.644,109,76,0.760,0.210,0.317
C_entropy,1.7,,0.644,111,78,0.756,0.207,0.314
C_entropy,1.75,,0.667,111,78,0.756,0.213,0.323
C_entropy,1.8,,0.667,114,79,0.749,0.208,0.317
C_entropy,1.85,,0.667,115,80,0.747,0.207,0.316
C_entropy,1.9,,0.667,115,80,0.747,0.207,0.316
C_entropy,1.95,,0.667,115,80,0.747,0.207,0.316
C_entropy,2.0,,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.0,0.0,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.1,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.2,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.3,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.4,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.5,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.6,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.0,0.7,0.000,1,1,0.998,0.000,0.000
D_pfall+entropy,0.0,0.8,0.000,2,2,0.996,0.000,0.000
D_pfall+entropy,0.0,0.9,0.000,3,3,0.993,0.000,0.000
D_pfall+entropy,0.0,1.0,0.022,7,7,0.985,0.125,0.038
D_pfall+entropy,0.0,1.1,0.044,10,10,0.978,0.167,0.070
D_pfall+entropy,0.0,1.2,0.067,33,24,0.927,0.083,0.074
D_pfall+entropy,0.0,1.3,0.200,58,42,0.873,0.134,0.161
D_pfall+entropy,0.0,1.4,0.311,84,60,0.815,0.143,0.196
D_pfall+entropy,0.0,1.5,0.489,96,68,0.789,0.186,0.270
D_pfall+entropy,0.0,1.6,0.600,107,75,0.765,0.201,0.302
D_pfall+entropy,0.0,1.7,0.644,111,78,0.756,0.207,0.314
D_pfall+entropy,0.0,1.8,0.667,114,79,0.749,0.208,0.317
D_pfall+entropy,0.0,1.9,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.0,2.0,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.04,0.0,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.1,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.2,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.3,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.4,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.5,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.6,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.04,0.7,0.000,1,1,0.998,0.000,0.000
D_pfall+entropy,0.04,0.8,0.000,2,2,0.996,0.000,0.000
D_pfall+entropy,0.04,0.9,0.000,3,3,0.993,0.000,0.000
D_pfall+entropy,0.04,1.0,0.022,7,7,0.985,0.125,0.038
D_pfall+entropy,0.04,1.1,0.044,10,10,0.978,0.167,0.070
D_pfall+entropy,0.04,1.2,0.067,33,24,0.927,0.083,0.074
D_pfall+entropy,0.04,1.3,0.200,58,42,0.873,0.134,0.161
D_pfall+entropy,0.04,1.4,0.311,84,60,0.815,0.143,0.196
D_pfall+entropy,0.04,1.5,0.489,96,68,0.789,0.186,0.270
D_pfall+entropy,0.04,1.6,0.600,107,75,0.765,0.201,0.302
D_pfall+entropy,0.04,1.7,0.644,111,78,0.756,0.207,0.314
D_pfall+entropy,0.04,1.8,0.667,114,79,0.749,0.208,0.317
D_pfall+entropy,0.04,1.9,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.04,2.0,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.08,0.0,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.1,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.2,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.3,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.4,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.5,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.6,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.08,0.7,0.000,1,1,0.998,0.000,0.000
D_pfall+entropy,0.08,0.8,0.000,2,2,0.996,0.000,0.000
D_pfall+entropy,0.08,0.9,0.000,3,3,0.993,0.000,0.000
D_pfall+entropy,0.08,1.0,0.022,7,7,0.985,0.125,0.038
D_pfall+entropy,0.08,1.1,0.044,10,10,0.978,0.167,0.070
D_pfall+entropy,0.08,1.2,0.067,33,24,0.927,0.083,0.074
D_pfall+entropy,0.08,1.3,0.200,58,42,0.873,0.134,0.161
D_pfall+entropy,0.08,1.4,0.311,84,60,0.815,0.143,0.196
D_pfall+entropy,0.08,1.5,0.489,96,68,0.789,0.186,0.270
D_pfall+entropy,0.08,1.6,0.600,107,75,0.765,0.201,0.302
D_pfall+entropy,0.08,1.7,0.644,111,78,0.756,0.207,0.314
D_pfall+entropy,0.08,1.8,0.667,114,79,0.749,0.208,0.317
D_pfall+entropy,0.08,1.9,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.08,2.0,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.12,0.0,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.1,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.2,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.3,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.4,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.5,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.6,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.12,0.7,0.000,1,1,0.998,0.000,0.000
D_pfall+entropy,0.12,0.8,0.000,2,2,0.996,0.000,0.000
D_pfall+entropy,0.12,0.9,0.000,3,3,0.993,0.000,0.000
D_pfall+entropy,0.12,1.0,0.022,7,7,0.985,0.125,0.038
D_pfall+entropy,0.12,1.1,0.044,10,10,0.978,0.167,0.070
D_pfall+entropy,0.12,1.2,0.067,33,24,0.927,0.083,0.074
D_pfall+entropy,0.12,1.3,0.200,58,42,0.873,0.134,0.161
D_pfall+entropy,0.12,1.4,0.311,84,60,0.815,0.143,0.196
D_pfall+entropy,0.12,1.5,0.489,96,68,0.789,0.186,0.270
D_pfall+entropy,0.12,1.6,0.600,107,75,0.765,0.201,0.302
D_pfall+entropy,0.12,1.7,0.644,111,78,0.756,0.207,0.314
D_pfall+entropy,0.12,1.8,0.667,114,79,0.749,0.208,0.317
D_pfall+entropy,0.12,1.9,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.12,2.0,0.667,115,80,0.747,0.207,0.316
D_pfall+entropy,0.16,0.0,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.16,0.1,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.16,0.2,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.16,0.3,0.000,0,0,1.000,0.000,0.000
D_pfall+entropy,0.16,0.4,0.000,0,0,1.000,0.000,0.000
